rank,title,first_author,citation_count,github_stars,arxiv_abs_url,arxiv_pdf_url,github_repo,icml_page_url,openreview_url,author_post_url,tag_handles
33,ATLAS: Learning to Optimally Memorize the Context at Test Time,Ali Behrouz,48,2,https://arxiv.org/abs/2505.23735,https://arxiv.org/pdf/2505.23735,https://github.com/danielquintas8/atlas-torch,https://icml.cc/virtual/2026/poster/65037,https://openreview.net/forum?id=HV1R5bMSpa,,
34,Multimodal Latent Language Modeling with Next-Token Diffusion,Yutao Sun,45,,https://arxiv.org/abs/2412.08635,https://arxiv.org/pdf/2412.08635,,https://icml.cc/virtual/2026/poster/64225,https://openreview.net/forum?id=PnTXyTR2VG,,
35,SEAgent: Self-Evolving Computer Use Agent with Autonomous Learning from Experience,ZEYI SUN,45,250,https://arxiv.org/abs/2508.04700,https://arxiv.org/pdf/2508.04700,https://github.com/SunzeY/SEAgent,https://icml.cc/virtual/2026/poster/65711,https://openreview.net/forum?id=AvBgmOGsdQ,,
36,Agent Learning via Early Experience,Kai Zhang,44,2049,https://arxiv.org/abs/2510.08558,https://arxiv.org/pdf/2510.08558,https://github.com/langfengQ/verl-agent,https://icml.cc/virtual/2026/poster/64488,https://openreview.net/forum?id=N3dXUHY5dD,https://x.com/langfengq/status/1930848580505620677,langfengq YSLIU627
37,ZeroBench: An Impossible Visual Benchmark for Contemporary Large Multimodal Models,Jonathan Roberts,44,760,https://arxiv.org/abs/2502.09696,https://arxiv.org/pdf/2502.09696,https://github.com/Yangyi-Chen/Multimodal-AND-Large-Language-Models,https://icml.cc/virtual/2026/poster/65303,https://openreview.net/forum?id=EvmCeoiKYI,,
38,Blending Supervised and Reinforcement Fine-Tuning with Prefix Sampling,Zeyu Huang,41,6,https://arxiv.org/abs/2507.01679,https://arxiv.org/pdf/2507.01679,https://github.com/ZeroYuHuang/prefix_rft,https://icml.cc/virtual/2026/poster/64528,https://openreview.net/forum?id=MgtyPYrC4h,,
39,Graph-R1: Towards Agentic GraphRAG Framework via End-to-end Reinforcement Learning,Haoran Luo,41,571,https://arxiv.org/abs/2507.21892,https://arxiv.org/pdf/2507.21892,https://github.com/LHRLAB/Graph-R1,https://icml.cc/virtual/2026/poster/63269,https://openreview.net/forum?id=YXnFGsSkCC,,
40,NorMuon: Making Muon more efficient and scalable,Zichong Li,41,81,https://arxiv.org/abs/2510.05491,https://arxiv.org/pdf/2510.05491,https://github.com/zichongli5/NorMuon,https://icml.cc/virtual/2026/poster/61880,https://openreview.net/forum?id=m1IRWFAMsa,,
41,Data Augmentation of Contrastive Learning is Estimating Positive-incentive Noise,Hongyuan Zhang,40,,https://arxiv.org/abs/2408.09929,https://arxiv.org/pdf/2408.09929,,https://icml.cc/virtual/2026/poster/63751,https://openreview.net/forum?id=U1yt3NN0mC,,
42,DexMachina: Functional Retargeting for Bimanual Dexterous Manipulation,Zhao Mandi,40,231,https://arxiv.org/abs/2505.24853,https://arxiv.org/pdf/2505.24853,https://github.com/MandiZhao/dexmachina,https://icml.cc/virtual/2026/poster/63277,https://openreview.net/forum?id=YScdQhxHgS,,
43,GTPO and GRPO-S: Token and Sequence-Level Reward Shaping with Policy Entropy,Hongze Tan,40,,,,,https://icml.cc/virtual/2026/poster/65174,https://openreview.net/forum?id=G5x5eEZ8yY,,
44,Privileged Information Distillation for Language Models,Emiliano Penaloza,40,,https://arxiv.org/abs/2602.04942,https://arxiv.org/pdf/2602.04942,,https://icml.cc/virtual/2026/poster/62658,https://openreview.net/forum?id=ebZcMQImhG,,
45,"TabICooL: A better, faster, scalable, and open tabular foundation model",Jingang QU,40,,https://arxiv.org/abs/2602.11139,https://arxiv.org/pdf/2602.11139,,https://icml.cc/virtual/2026/poster/63874,https://openreview.net/forum?id=SxsyLjIfWB,,
46,The Assistant Axis: Situating and Stabilizing the Default Persona of Language Models,Christina Lu,39,149,https://arxiv.org/abs/2601.10387,https://arxiv.org/pdf/2601.10387,https://github.com/safety-research/assistant-axis,https://icml.cc/virtual/2026/poster/61446,https://openreview.net/forum?id=q17jVxMtwS,,
47,WorldMirror: Universal 3D World Reconstruction with Any-Prior Prompting,Yifan Liu,39,,https://arxiv.org/abs/2510.10726,https://arxiv.org/pdf/2510.10726,,https://icml.cc/virtual/2026/poster/65052,https://openreview.net/forum?id=HFNJOpXHfm,,
48,Stabilizing MoE Reinforcement Learning by Aligning Training and Inference Routers,Wenhan Ma,38,0,https://arxiv.org/abs/2510.11370,https://arxiv.org/pdf/2510.11370,https://github.com/korziner/nano-zaya340M-cca-markov-moe,https://icml.cc/virtual/2026/poster/63177,https://openreview.net/forum?id=ZMkfGplf4b,,
49,ACTIVE-o3 : Empowering MLLMs with Active Perception via Pure Reinforcement Learning,Muzhi Zhu,37,81,https://arxiv.org/abs/2505.21457,https://arxiv.org/pdf/2505.21457,https://github.com/aim-uofa/Active-o3,https://icml.cc/virtual/2026/poster/66636,https://openreview.net/forum?id=1uU7X9zzJB,,
50,Deep Forcing: Training-Free Long Video Generation with Deep Sink and Participative Compression,Jung Yi,37,,https://arxiv.org/abs/2512.05081,https://arxiv.org/pdf/2512.05081,,https://icml.cc/virtual/2026/poster/62407,https://openreview.net/forum?id=gtmyFnvXAW,,
